id,trial_id,facility_name,country,city,address,latitude,longitude,link,last_modified
65c9d31fcd713395fbb52afa,NCT01833793,,Algeria,Many Locations,,,,https://clinicaltrials.gov/api/v2/studies,2024-02-12T10:13:03.049Z
65c9d31fcd713395fbb52afc,NCT01459809,Investigational Site Number 01206,Algeria,Algeries,,,,https://clinicaltrials.gov/api/v2/studies,2024-02-12T10:13:18.964Z
65c9d31fcd713395fbb52afe,NCT01459809,Investigational Site Number 01203,Algeria,Oran,31000,35.69906,-0.63588,https://clinicaltrials.gov/api/v2/studies,2024-02-12T10:13:18.964Z
65c9d31fcd713395fbb52b00,NCT01459809,Investigational Site Number 01205,Algeria,Setif,19000,36.19112,5.41373,https://clinicaltrials.gov/api/v2/studies,2024-02-12T10:13:18.964Z
65c9d31fcd713395fbb52b02,NCT01459809,Investigational Site Number 81801,Egypt,Cairo,,30.06263,31.24967,https://clinicaltrials.gov/api/v2/studies,2024-02-12T10:13:18.964Z
65c9d31fcd713395fbb52b04,NCT01459809,Investigational Site Number 81802,Egypt,Cairo,,30.06263,31.24967,https://clinicaltrials.gov/api/v2/studies,2024-02-12T10:13:18.964Z
65c9d31fcd713395fbb52b06,NCT01459809,Investigational Site Number 81803,Egypt,Cairo,,30.06263,31.24967,https://clinicaltrials.gov/api/v2/studies,2024-02-12T10:13:18.964Z
65c9d31fcd713395fbb52b08,NCT01459809,Investigational Site Number 710-002,South Africa,Durban,4091,-29.8579,31.0292,https://clinicaltrials.gov/api/v2/studies,2024-02-12T10:13:18.964Z
65c9d31fcd713395fbb52b0a,NCT01459809,Investigational Site Number 710-001,South Africa,Durban,4092,-29.8579,31.0292,https://clinicaltrials.gov/api/v2/studies,2024-02-12T10:13:18.964Z
65c9d31fcd713395fbb52b0c,NCT01459809,Investigational Site Number 78803,Tunisia,La Marsa,2070,36.87818,10.32466,https://clinicaltrials.gov/api/v2/studies,2024-02-12T10:13:18.964Z
65c9d31fcd713395fbb52b0e,NCT01459809,Investigational Site Number 78804,Tunisia,La Marsa,2070,36.87818,10.32466,https://clinicaltrials.gov/api/v2/studies,2024-02-12T10:13:18.964Z
65c9d31fcd713395fbb52b10,NCT01459809,Investigational Site Number 78805,Tunisia,Sfax,,34.74056,10.76028,https://clinicaltrials.gov/api/v2/studies,2024-02-12T10:13:18.964Z
65c9d31fcd713395fbb52b12,NCT01459809,Investigational Site Number 78801,Tunisia,Tunis,,36.81897,10.16579,https://clinicaltrials.gov/api/v2/studies,2024-02-12T10:13:18.964Z
65c9d31fcd713395fbb52b14,NCT01459809,Investigational Site Number 78802,Tunisia,Tunis,,36.81897,10.16579,https://clinicaltrials.gov/api/v2/studies,2024-02-12T10:13:18.964Z
65c9d31fcd713395fbb52b16,NCT01459809,Investigational Site Number 78806,Tunisia,Tunis,,36.81897,10.16579,https://clinicaltrials.gov/api/v2/studies,2024-02-12T10:13:18.964Z
